,Zu bezahlende Einheiten pro Jahr,Gigabyte,Basispreis,Dauer in Tagen,Angebotsdatum,Preis pro Monat,Preis pro Jahr,Preis pro Gigabyte pro Jahr,Enthaltene Gigabyte pro Jahr
Mp S,13,3,7.99,28,18.06.2020,8.66,103.92,2.66,39.0
Mp M,13,5,12.99,28,18.06.2020,14.07,168.84,2.6,65.0
Mp L,13,7,17.99,28,18.06.2020,19.49,233.88,2.57,91.0
Jp,1,12,59.99,365,18.06.2020,5.0,60.0,5.0,12.0
Mp S,13,3,7.99,28,19.11.2021,8.66,103.92,2.66,39.0
Mp M,13,5,12.99,28,19.11.2021,14.07,168.84,2.6,65.0
Mp L,13,7,17.99,28,19.11.2021,19.49,233.88,2.57,91.0
Jp XS,1,12,58.19,365,19.11.2021,4.85,58.2,4.85,12.0
Jp S,1,40,96.99,365,19.11.2021,8.08,96.96,2.42,40.0
Jp L,1,100,144,365,19.11.2021,12.0,144.0,1.44,100.0
Mp S,13,3,7.99,28,10.06.2021,8.66,103.92,2.66,39.0
Mp M,13,6,12.99,28,10.06.2021,14.07,168.84,2.16,78.0
Mp L,13,12,17.99,28,10.06.2021,19.49,233.88,1.5,156.0
Jp XS,1,12,59.99,365,10.06.2021,5.0,60.0,5.0,12.0
Jp S,1,50,99.99,365,10.06.2021,8.33,99.96,2.0,50.0
Jp L,1,100,149,365,10.06.2021,12.42,149.04,1.49,100.0
